"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"617",815.883719599592,-0.64000722378567,0.0732644656827865,-8.73557484956913,2.42420123573283e-18,1.55609223920864e-17,"BCS1L","617","BCS1 ubiquinol-cytochrome c reductase complex chaperone"
"2462",50.0429620001663,2.88915296202429,0.330806366073788,8.73366796508337,2.46544157621277e-18,1.58187540053217e-17,"FRA16C","2462","fragile site, aphidicolin type, common, fra(16)(q22.1)"
"16253",1269.18823404904,-0.513339030408287,0.0587851177015025,-8.73246580903191,2.49179591393179e-18,1.59808912878706e-17,NA,"16253",NA
"12540",10613.9588514378,0.325997064844731,0.0373337403810128,8.73196903170533,2.50276759130864e-18,1.60442752330173e-17,NA,"12540",NA
"95",427.118705593219,0.840544674617318,0.0963104554932586,8.72744989432796,2.60479197019536e-18,1.66910539377127e-17,"ACY1","95","aminoacylase 1"
"13918",561.042020607057,-0.778623469396548,0.0892241850588345,-8.7265965935483,2.62451194500277e-18,1.68101073643854e-17,NA,"13918",NA
"11317",360.046147759123,-0.886905000443829,0.101667482639065,-8.72358572693765,2.69527866041105e-18,1.7255871805881e-17,"RBPJL","11317","recombination signal binding protein for immunoglobulin kappa J region like"
"18687",3943.48555572637,0.401676976196231,0.0460724084646785,8.71838459463602,2.82198982275379e-18,1.80592644410531e-17,NA,"18687",NA
"11082",1446.7528729647,0.495003148541064,0.0567832359024676,8.71741704525778,2.84620203332903e-18,1.82063044996542e-17,"ESM1","11082","endothelial cell specific molecule 1"
"3608",715.568257253497,0.735838145201018,0.0844214325078584,8.7162480349113,2.87572939530533e-18,1.83872016607418e-17,"ILF2","3608","interleukin enhancer binding factor 2"
"15308",339.219279119036,0.926242242107481,0.106327214301069,8.71124338388852,3.00559551316947e-18,1.92092223213754e-17,NA,"15308",NA
"4906",1225.65016338676,0.579614431964816,0.0665395899691378,8.71082061421855,3.01682759205969e-18,1.92726506509648e-17,NA,"4906",NA
"14070",620.358780693709,-0.714617461586635,0.0821317308594501,-8.70086937300202,3.29351203557728e-18,2.10311006847218e-17,NA,"14070",NA
"18090",82.7462984632395,-1.92429203438952,0.221206796841163,-8.69906378044637,3.34633415717273e-18,2.1359148033093e-17,NA,"18090",NA
"17075",355.139995384923,-0.886230993758002,0.101921641850303,-8.69521897086046,3.46161558298653e-18,2.20793625758206e-17,NA,"17075",NA
"8342",1060.31174832342,0.576852575506674,0.0663414890076319,8.69520090874526,3.46216629886832e-18,2.20793625758206e-17,"H2BC14","8342","H2B clustered histone 14"
"1565",411.596156971702,-0.807632661079954,0.0928925088360418,-8.69427116567011,3.49063139488251e-18,2.22512653537104e-17,"CYP2D6","1565","cytochrome P450 family 2 subfamily D member 6 (gene/pseudogene)"
"3594",431.144093719096,0.860444969538623,0.0990314229915909,8.68860553090999,3.66915282891058e-18,2.33791501913031e-17,"IL12RB1","3594","interleukin 12 receptor subunit beta 1"
"5593",480.561927043917,-0.800689557211902,0.0921553180099975,-8.68847912960421,3.67323677210819e-18,2.33950577127617e-17,"PRKG2","5593","protein kinase cGMP-dependent 2"
"15757",1983.82307067091,0.463807290674404,0.0533932350321708,8.68663025184648,3.73348821460849e-18,2.37685310180993e-17,NA,"15757",NA
"5744",3327.91218151663,0.386876531112679,0.0445588075641616,8.68238070679076,3.87569618113544e-18,2.46632168901443e-17,"PTHLH","5744","parathyroid hormone like hormone"
"24",1067.09073092054,0.582146204655297,0.0670714173686712,8.67949757875872,3.97520932176024e-18,2.52855567475625e-17,"ABCA4","24","ATP binding cassette subfamily A member 4"
"10913",1118.01688242171,0.623425530145157,0.0718432153429374,8.67758391894473,4.04264906037835e-18,2.57034347937257e-17,"EDAR","10913","ectodysplasin A receptor"
"13790",2245.39404118475,0.418908338337725,0.0483603164110885,8.66223319915403,4.62610770463572e-18,2.94004205911692e-17,NA,"13790",NA
"2500",1366.30956186404,-0.53730907839367,0.0620347071736666,-8.66142685077033,4.65895446904217e-18,2.95964098985963e-17,"FTH1P7","2500","ferritin heavy chain 1 pseudogene 7"
"793",704.377216182805,-0.656396349782869,0.0758142286274468,-8.65795724188422,4.80293615920783e-18,3.04979203422684e-17,"CALB1","793","calbindin 1"
"3683",1864.89411985303,0.456618231706851,0.0527523549795511,8.65588336073061,4.89108624003889e-18,3.10442846708412e-17,"ITGAL","3683","integrin subunit alpha L"
"15562",133.844398236272,-1.51739404057854,0.175461390725086,-8.64802241853882,5.23995386248285e-18,3.32442703509566e-17,NA,"15562",NA
"15433",743.852101900646,0.666581253133876,0.0770982491202391,8.64586758765824,5.33980075051511e-18,3.38631598369586e-17,NA,"15433",NA
"11836",853.192779291432,0.649839726885712,0.0751720787432597,8.64469544743007,5.39489964303285e-18,3.41869960704669e-17,NA,"11836",NA
"5382",797.337547245499,0.616318667253693,0.0712945394621487,8.64468263492895,5.39550501152842e-18,3.41869960704669e-17,"PMS2P4","5382","PMS1 homolog 2, mismatch repair system component pseudogene 4"
"1438",3264.81449857537,0.389432611595404,0.0450686768812909,8.64087074535501,5.57862021824088e-18,3.53320604969635e-17,"CSF2RA","1438","colony stimulating factor 2 receptor subunit alpha"
"10385",517.355820838479,0.755379780845156,0.0874286704735739,8.63995502566262,5.62351540118591e-18,3.55867843251118e-17,"BTN2A2","10385","butyrophilin subfamily 2 member A2"
"14960",572.636791414239,-0.737945961247945,0.0854108874466421,-8.63995192309593,5.62366811597132e-18,3.55867843251118e-17,NA,"14960",NA
"2477",17293.623786867,-0.334351065867408,0.0386990324147045,-8.63977843901762,5.63221388054493e-18,3.56255657388289e-17,NA,"2477",NA
"11574",265.757884812529,1.05864074189155,0.1225396703715,8.63916753392679,5.66240902278152e-18,3.58011944134509e-17,NA,"11574",NA
"9913",1868.1218378915,-0.446708477903107,0.0517149871344586,-8.63789208226367,5.72596665259641e-18,3.61875199511003e-17,"SUPT7L","9913","SPT7 like, STAGA complex subunit gamma"
"6028",664.204424935651,0.670138099045183,0.0775874958435513,8.63719200831613,5.76115117291203e-18,3.63942760335951e-17,NA,"6028",NA
"6129",801.415946817956,0.625247137645959,0.0723974959763419,8.63630888353207,5.80584005778374e-18,3.6660870082098e-17,"RPL7","6129","ribosomal protein L7"
"1891",581.205693239018,0.843416582407097,0.0976780000819042,8.63466268453369,5.89005819114148e-18,3.71767355978772e-17,"ECH1","1891","enoyl-CoA hydratase 1"
"13699",679.050013284207,0.65704061360015,0.0761066860918268,8.63315231998664,5.96838727508005e-18,3.76550049914939e-17,NA,"13699",NA
"6123",362.791185719032,0.911292193493824,0.105574369882467,8.63175593194008,6.04171971773333e-18,3.81013543859451e-17,"RPL3L","6123","ribosomal protein L3 like"
"15215",136.514238302696,-1.43332135316142,0.166056119357096,-8.63154792916201,6.05271898969614e-18,3.8154393699804e-17,NA,"15215",NA
"11924",1037.27568623376,0.555145509638447,0.0643236271269024,8.63050692933119,6.10806519090879e-18,3.84868169233064e-17,NA,"11924",NA
"2224",1105.44012031024,0.558483838361222,0.0647235439815334,8.62875862484547,6.20214234158364e-18,3.90628947992562e-17,"FDPS","2224","farnesyl diphosphate synthase"
"10756",1282.99110490886,0.611298966335831,0.0708611237288259,8.62671849059541,6.31373244437777e-18,3.97487350556342e-17,NA,"10756",NA
"7663",143.840216007763,-1.3385579717562,0.155319266906428,-8.61810642309182,6.80704013715177e-18,4.28361048425887e-17,NA,"7663",NA
"7416",695.453878624438,0.659237167286195,0.0765200853055978,8.6152173596436,6.98090304504042e-18,4.39114592734979e-17,"VDAC1","7416","voltage dependent anion channel 1"
"13830",246.838001973885,1.02389186515797,0.118870461958421,8.61350959934952,7.08572915495906e-18,4.45518243540045e-17,NA,"13830",NA
"12216",143.855816199566,-1.41785119064914,0.164633158747481,-8.61218482009377,7.16811577040832e-18,4.50506141681356e-17,NA,"12216",NA
"12129",655.950111688017,-0.702728740119431,0.0816242010756024,-8.60931844795083,7.34962212750901e-18,4.61716670567893e-17,NA,"12129",NA
"6925",592.031349916041,-0.700587972616583,0.0814133020432678,-8.60532560446019,7.61004227288101e-18,4.7787304225701e-17,"TCF4","6925","transcription factor 4"
"6124",288.637013046986,0.994687581244855,0.115594986625548,8.60493703301333,7.63586667988819e-18,4.79290473288723e-17,"RPL4","6124","ribosomal protein L4"
"4369",273.160720314078,0.993145717178738,0.115504024662417,8.59836460315042,8.08600589199595e-18,5.07328883934595e-17,NA,"4369",NA
"12959",114.732290088068,-1.57326157957899,0.182981020083338,-8.5979495516117,8.11529558572519e-18,5.08949899329438e-17,NA,"12959",NA
"11916",173.251857575623,-1.2626779300229,0.146866621570702,-8.59744655741975,8.15093166245031e-18,5.10967379162878e-17,NA,"11916",NA
"17594",48.7924508540489,2.80063841332381,0.325824180213575,8.59555116961549,8.28660883623378e-18,5.19251875120805e-17,NA,"17594",NA
"6359",336.755608764477,0.917873748023964,0.106802714025244,8.59410508806935,8.3916202350957e-18,5.25608580641056e-17,"CCL15","6359","C-C motif chemokine ligand 15"
"17660",597.021866082182,-0.683405008255427,0.07953966155093,-8.59200296971135,8.54661797555972e-18,5.35089446575188e-17,NA,"17660",NA
"3823",2173.63212213883,-0.435394090315838,0.0506948294213131,-8.5885305323227,8.80886639772218e-18,5.51274195200125e-17,"KLRC3","3823","killer cell lectin like receptor C3"
"17869",469.604273601781,0.800539164705825,0.0932648133090494,8.58350685861663,9.20238161913835e-18,5.75656622677678e-17,NA,"17869",NA
"10703",617.621882068509,-0.718481770184312,0.0837099559634855,-8.58299066000842,9.24378646020809e-18,5.78001378237364e-17,NA,"10703",NA
"5978",957.024997555625,0.62311502603462,0.0726001466913719,8.58283425629322,9.25636802419114e-18,5.78542629094694e-17,"REST","5978","RE1 silencing transcription factor"
"15232",330.761614753415,-0.888810949940973,0.103596020549061,-8.57958582994077,9.52153508242227e-18,5.9486385775642e-17,NA,"15232",NA
"11015",2069.4659167658,0.479194977302218,0.0558757049632962,8.5760882590563,9.81542398947893e-18,6.12964909987036e-17,"KDELR3","11015","KDEL endoplasmic reticulum protein retention receptor 3"
"13428",642.156613677073,-0.660665333341008,0.0770456342950853,-8.57498727066943,9.90977559767107e-18,6.1859497144632e-17,NA,"13428",NA
"3095",365.357246729938,0.920347469374923,0.107331706281788,8.57479584791699,9.92627108538942e-18,6.19362333854654e-17,NA,"3095",NA
"18005",636.049373142752,0.668335971909368,0.0779431708610982,8.57465720890934,9.93823495293305e-18,6.19846410225676e-17,NA,"18005",NA
"11919",807.93965561355,-0.61392253259973,0.0716102741760909,-8.57310685740546,1.00729959349808e-17,6.27985677198593e-17,NA,"11919",NA
"2598",61.724297491399,2.81769734893151,0.328765710641938,8.57053292884393,1.03007224794426e-17,6.41911407619557e-17,NA,"2598",NA
"9816",3613.31990495595,0.395709255906708,0.0461738296111302,8.56998995403497,1.03494068610018e-17,6.44672689422845e-17,"URB2","9816","URB2 ribosome biogenesis homolog"
"10564",193.354540618656,-1.17568699547614,0.137259658701035,-8.56542269303543,1.07680090799775e-17,6.70464376090869e-17,"ARFGEF2","10564","ARF guanine nucleotide exchange factor 2"
"14781",101.222427801346,-1.66019991953317,0.193854953566265,-8.56413462225853,1.08890555078142e-17,6.77714949637523e-17,NA,"14781",NA
"7161",2359.09872100895,0.428540022205577,0.0500606167570997,8.56042234327448,1.1245479640136e-17,6.99602697071863e-17,"TP73","7161","tumor protein p73"
"5060",1294.92491497686,-0.540269548149924,0.0631222362063107,-8.55910025722299,1.13751764710684e-17,7.07372788314796e-17,NA,"5060",NA
"2353",1206.67900071401,-0.541078308287616,0.0632349162546183,-8.55663833109131,1.16206377374307e-17,7.22332176188334e-17,"FOS","2353","Fos proto-oncogene, AP-1 transcription factor subunit"
"1815",348.584715636629,-0.92801293298056,0.108486664108304,-8.55416599457892,1.18723959830271e-17,7.37670202351828e-17,"DRD4","1815","dopamine receptor D4"
"13274",3120.93521160305,-0.439202576515812,0.0513732596660004,-8.54924486729587,1.23896416003255e-17,7.69483935548241e-17,NA,"13274",NA
"12992",107.330174276393,1.75111009877054,0.204881453728036,8.54694296095245,1.26391616010498e-17,7.84650226100558e-17,NA,"12992",NA
"16114",8836.49134921343,-0.315277123339075,0.0369042217229668,-8.54311806670258,1.30647794177322e-17,8.10731448667524e-17,NA,"16114",NA
"519",664.409584062406,0.696894319135528,0.0815912749899028,8.54128482759671,1.32737580529329e-17,8.23352887980325e-17,NA,"519",NA
"3671",183.492128149944,-1.2276762500838,0.143745804759459,-8.54060577376964,1.33520005944202e-17,8.2785773984251e-17,"ISLR","3671","immunoglobulin superfamily containing leucine rich repeat"
"11450",948.038067093971,-0.576089383796031,0.0674662427101404,-8.53892792386737,1.354728422076e-17,8.39612593967876e-17,NA,"11450",NA
"3365",308.049720052481,-0.989707871054779,0.115941498492447,-8.53626944557093,1.3862488120723e-17,8.58786674750803e-17,NA,"3365",NA
"14178",782.919076186568,0.650009820245075,0.0761676374401241,8.53393701171383,1.41449872142813e-17,8.75919418336459e-17,NA,"14178",NA
"4917",134.255124726086,-1.39247041846584,0.163196265247152,-8.53248949267936,1.43231563799005e-17,8.86579919054909e-17,"NTN3","4917","netrin 3"
"4601",158.249549565563,8.82208547361032,1.03474164866556,8.52588226731533,1.51649448320839e-17,9.38291171012813e-17,"MXI1","4601","MAX interactor 1, dimerization protein"
"11754",1257.82325077492,0.515797058941315,0.0605074975248583,8.52451481288596,1.5345167253512e-17,9.49043537483259e-17,NA,"11754",NA
"8734",40.1448439581042,4.81410863415633,0.564904797862437,8.52198220367857,1.56845494787968e-17,9.69626217359513e-17,NA,"8734",NA
"6928",1713.13497416401,-0.63833817680332,0.0749076795869559,-8.5216653395639,1.57275287599629e-17,9.71875550793853e-17,"HNF1B","6928","HNF1 homeobox B"
"8864",188.462808554081,1.22659795095414,0.144011590955405,8.51735574071931,1.63237492912553e-17,1.00829596418491e-16,"PER2","8864","period circadian regulator 2"
"14669",75.8919090967013,-1.9096488618787,0.224302796751229,-8.51370954592541,1.684556576223e-17,1.04009194890551e-16,NA,"14669",NA
"14072",370.059020314781,-0.831746122783328,0.0976987743963967,-8.51337315050294,1.68945294793071e-17,1.04267828922122e-16,NA,"14072",NA
"6449",160.630025928848,-1.30695750306454,0.153520383579541,-8.51325063545966,1.6912396904228e-17,1.04334410035376e-16,"SGTA","6449","small glutamine rich tetratricopeptide repeat co-chaperone alpha"
"313",1205.10200356809,-0.538265443934558,0.0632307184562669,-8.51272066925582,1.69899014630571e-17,1.04768689440392e-16,"AOAH","313","acyloxyacyl hydrolase"
"17058",656.774694493975,-0.660862082253596,0.0776443914119901,-8.51139496666263,1.71853161662804e-17,1.05929397598762e-16,NA,"17058",NA
"2355",128.823232803511,1.52968758078577,0.179732773910293,8.5108995288152,1.72589138790259e-17,1.06338575563998e-16,"FOSL2","2355","FOS like 2, AP-1 transcription factor subunit"
"19417",1792.34350964516,0.488729512835597,0.0574294488247574,8.51008538018406,1.7380532373274e-17,1.07043161770711e-16,NA,"19417",NA
"5199",1394.15125196352,0.510547216385398,0.0600571429444031,8.50102404734817,1.87925432425498e-17,1.15691103721261e-16,"CFP","5199","complement factor properdin"
"16955",516.981668138354,-0.722267690570525,0.0849739578783056,-8.49987112057216,1.89801303735106e-17,1.16797144653361e-16,NA,"16955",NA
"763",72.525926643742,-1.97672961536032,0.232583432029512,-8.49901301271318,1.91209471104912e-17,1.17614573670459e-16,"CA5A","763","carbonic anhydrase 5A"
"7976",1427.82124884099,-0.48715663227911,0.0573207559343353,-8.49878241028746,1.91589647090222e-17,1.17799258190058e-16,"FZD3","7976","frizzled class receptor 3"
"9036",224.912061709268,-1.05990899298894,0.124755984195287,-8.49585693083719,1.96477890982353e-17,1.20754426909838e-16,NA,"9036",NA
"15320",478.38728836014,0.752440301990612,0.0885805425352638,8.49441965983745,1.98924333923553e-17,1.22207037655912e-16,NA,"15320",NA
"4851",121.740080986861,-1.44669525250637,0.170322746391442,-8.4938464365853,1.99908405121092e-17,1.22760419778111e-16,"NOTCH1","4851","notch receptor 1"
"12687",587.873529243904,-0.691218678833503,0.0813988780311644,-8.49174700625311,2.03553750662459e-17,1.24946904509093e-16,NA,"12687",NA
"19343",582.11927051498,-0.680469193959121,0.0801502005011836,-8.48992503704432,2.06770430413759e-17,1.26868551350457e-16,NA,"19343",NA
"1664",172.809357219066,-1.29411252747066,0.15243179004277,-8.48978108246024,2.07026709125515e-17,1.26972935459502e-16,NA,"1664",NA
"5270",403.702691553933,0.834960010917055,0.0983670029859519,8.48821236361444,2.09839856741252e-17,1.28644750775897e-16,"SERPINE2","5270","serpin family E member 2"
"3442",811.8449297007,-0.612928423078407,0.0722128500985167,-8.48780268667165,2.10580710806808e-17,1.29045260535166e-16,"IFNA5","3442","interferon alpha 5"
"9226",7300.37741017195,0.315067930593527,0.0371246459405271,8.48675920299037,2.12479410440852e-17,1.30154677933386e-16,NA,"9226",NA
"9733",208.472910865476,-1.08506197727852,0.127886198579379,-8.48459012256136,2.16480433632359e-17,1.32550420892136e-16,"SART3","9733","spliceosome associated factor 3, U4/U6 recycling protein"
"17010",615.264360017849,0.723790453359247,0.0853158433612882,8.48365819106073,2.1822219239452e-17,1.33561406624187e-16,NA,"17010",NA
"7541",1334.65096047625,0.535433944641701,0.063125261248664,8.48208679141163,2.21190468365795e-17,1.35321922904736e-16,"ZBTB14","7541","zinc finger and BTB domain containing 14"
"9822",2139.12464948746,-0.433039176077188,0.051058991778249,-8.48115407287893,2.22971118115564e-17,1.3635470285424e-16,NA,"9822",NA
"1977",1096.65319388335,-0.530795697921445,0.0625972386872344,-8.47953853960801,2.26088851352696e-17,1.38203960648529e-16,"EIF4E","1977","eukaryotic translation initiation factor 4E"
"11708",252.921711239472,-1.01198911714809,0.119349494811903,-8.479207379495,2.26733231955169e-17,1.38540396872109e-16,NA,"11708",NA
"16908",1548.46024231643,-0.484072107022618,0.0571215742745725,-8.47441817159617,2.36257332324766e-17,1.44300064807393e-16,NA,"16908",NA
"15067",1236.11387486576,-0.520821697829548,0.061495553472395,-8.46925783119168,2.46961483697997e-17,1.50775407901453e-16,NA,"15067",NA
"5566",1170.06514148058,-0.531310337424551,0.0627392795581072,-8.46854380806952,2.48479783500834e-17,1.51639546552186e-16,"PRKACA","5566","protein kinase cAMP-activated catalytic subunit alpha"
"17349",1554.43663348062,0.47768239913286,0.0564486883790073,8.46224089257149,2.62288024400517e-17,1.60000037401276e-16,NA,"17349",NA
"5475",2300.38122211862,-0.46149089397466,0.0545568487143021,-8.45889938385829,2.69912792094918e-17,1.64583149768097e-16,"PPEF1","5475","protein phosphatase with EF-hand domain 1"
"16242",1004.45855812429,0.55359156471911,0.0654648732287996,8.45631462210746,2.75960413257724e-17,1.68201181579501e-16,NA,"16242",NA
"6951",988.002462421101,-0.56076338163452,0.0663177631324551,-8.45570410018986,2.77408268020985e-17,1.69013768255199e-16,NA,"6951",NA
"13859",656.284630091393,0.651261362198026,0.0770270262406827,8.45497215695515,2.79153954643756e-17,1.70007065435524e-16,NA,"13859",NA
"16483",2315.13385605726,0.448186630096537,0.0530201880545087,8.45313165686565,2.83591585228198e-17,1.72638281003436e-16,NA,"16483",NA
"6253",5698.48242853665,-0.328144860933574,0.0388301344790176,-8.45077837963429,2.89367077507113e-17,1.76081419830712e-16,"RTN2","6253","reticulon 2"
"3731",54.1184165522606,-2.34721822816402,0.277775010258021,-8.45006981003699,2.91128692370056e-17,1.77080258693763e-16,NA,"3731",NA
"6161",597.991505948721,0.716143155789576,0.0847526553258833,8.44980199187774,2.91797281837341e-17,1.77413710384436e-16,"RPL32","6161","ribosomal protein L32"
"19416",448.474845541522,-0.808973349919645,0.0957690962511292,-8.44712314918714,2.98568737936209e-17,1.81455919987788e-16,NA,"19416",NA
"9517",720.885596281985,-0.628365237312066,0.0744053438260818,-8.44516273966603,3.03622179305755e-17,1.8445109969531e-16,"SPTLC2","9517","serine palmitoyltransferase long chain base subunit 2"
"11494",803.653020680106,-0.605142447726563,0.0717260820560831,-8.43685351799081,3.2599460156083e-17,1.97960792657747e-16,NA,"11494",NA
"1738",97.4093429817929,-1.72713402845382,0.204773344896431,-8.43436937228017,3.3299345800284e-17,2.02127577596617e-16,"DLD","1738","dihydrolipoamide dehydrogenase"
"18546",322.51566246357,0.909533330844609,0.107855026210418,8.43292485108827,3.37131208746802e-17,2.04554950782642e-16,NA,"18546",NA
"3441",440.659633257905,-0.794375698330533,0.0942346546222146,-8.4297618696134,3.46369334353327e-17,2.10073713979397e-16,"IFNA4","3441","interferon alpha 4"
"1720",2425.42812141998,0.40753795260075,0.0483884386992938,8.42221744605904,3.6942459488341e-17,2.23964610423352e-16,"DHFRP3","1720","dihydrofolate reductase pseudogene 3"
"7640",101.774169870676,1.70616388197417,0.202600416568402,8.42132464914325,3.72251160825021e-17,2.2558542797036e-16,NA,"7640",NA
"9649",660.079448668403,0.638407949959678,0.0758150125730924,8.42060072659351,3.74558729615932e-17,2.26890528445524e-16,"RALGPS1","9649","Ral GEF with PH domain and SH3 binding motif 1"
"9478",855.882933735248,0.629921663814988,0.0748148776578761,8.41973793896425,3.77327379526568e-17,2.28473743609801e-16,"CABP1","9478","calcium binding protein 1"
"15949",1599.43605861531,-0.491018685822498,0.058317917310209,-8.41968829597661,3.7748729458616e-17,2.28476704213997e-16,NA,"15949",NA
"10776",869.424664684764,0.68074389191143,0.0808560860579493,8.41920410819221,3.79050519875057e-17,2.29328676597643e-16,"ARPP19","10776","cAMP regulated phosphoprotein 19"
"7462",1218.80335863654,0.581232666825486,0.0690384707184097,8.41896787077145,3.79815540786096e-17,2.29697227743352e-16,"LAT2","7462","linker for activation of T cells family member 2"
"8863",716.79822382548,0.659686094802851,0.0783947640392343,8.41492544671347,3.93144868373549e-17,2.37660749388407e-16,"PER3","8863","period circadian regulator 3"
"13983",288.606656256544,-2.10738845469147,0.250457905093425,-8.41414230429414,3.95780020828164e-17,2.39155635381939e-16,NA,"13983",NA
"12477",2110.14095518669,-0.452057719824115,0.0537636295619934,-8.4082440770272,4.16194361610253e-17,2.5138821727098e-16,NA,"12477",NA
"7418",804.096981161514,0.590409934075938,0.0702420765518117,8.40535990761096,4.26551452305914e-17,2.57538521265242e-16,"VDAC1P4","7418","voltage dependent anion channel 1 pseudogene 4"
"9146",1262.38016804964,-0.491801945788343,0.0585187391548336,-8.40417877916155,4.30865905610791e-17,2.60036925343646e-16,"HGS","9146","hepatocyte growth factor-regulated tyrosine kinase substrate"
"14412",4389.09121515187,0.358418753887356,0.0426665454024088,8.40046341945277,4.44720068225069e-17,2.68288348976712e-16,NA,"14412",NA
"1053",432.957244933122,0.77836215148869,0.0927083616448503,8.39581390156004,4.62677962615418e-17,2.79007684657366e-16,"CEBPE","1053","CCAAT enhancer binding protein epsilon"
"9886",653.520972049879,0.661790251053891,0.0788363972356654,8.39447608286314,4.67976262781966e-17,2.82087286743584e-16,"RHOBTB1","9886","Rho related BTB domain containing 1"
"8018",2534.8389937859,-0.395962908239419,0.0471967878414613,-8.38961561472145,4.87734223175495e-17,2.93876818526592e-16,NA,"8018",NA
"6970",526.439594036758,0.77788533875591,0.0927238097342855,8.38927284141,4.8915826231345e-17,2.94614404167373e-16,"TRGJP","6970","T cell receptor gamma joining P"
"15868",132.095734395092,-1.43546436725812,0.17118971481818,-8.38522553053329,5.0628593928117e-17,3.04805644327037e-16,NA,"15868",NA
"16302",4401.32401386712,0.404770143343499,0.0482839754674387,8.3831155041586,5.15448501018421e-17,3.1019518203387e-16,NA,"16302",NA
"17771",883.616935745458,-0.583649110514275,0.069627631716263,-8.38243519315265,5.18437399666457e-17,3.11866546787112e-16,NA,"17771",NA
"9582",441.668363724146,-0.820094840370026,0.0978650728449268,-8.37985214264864,5.2994233221543e-17,3.18657286503101e-16,"APOBEC3B","9582","apolipoprotein B mRNA editing enzyme catalytic subunit 3B"
"253",691.597771017374,-0.642513794516047,0.0766904009048609,-8.37802106828369,5.38250120011329e-17,3.23520810306973e-16,"ALS3","253","amyotrophic lateral sclerosis 3 (autosomal dominant)"
"9509",1312.55087281674,0.510558722698167,0.0609448789711792,8.37738512762672,5.41165402359952e-17,3.25140468812922e-16,"ADAMTS2","9509","ADAM metallopeptidase with thrombospondin type 1 motif 2"
"14505",1337.55525267777,-0.496292943561677,0.0592558576039937,-8.375424196514,5.50253113740767e-17,3.3046578607626e-16,NA,"14505",NA
"9857",198.724496258078,-1.14361036287057,0.136583816648609,-8.37295655467556,5.61903256384304e-17,3.3732505876138e-16,"CEP350","9857","centrosomal protein 350"
"1625",195.649238636549,-1.1432366214189,0.136571912187994,-8.37094980295221,5.71556549095229e-17,3.42980473150061e-16,NA,"1625",NA
"15630",869.140517630658,0.56447869635862,0.0674368321275219,8.37048061942175,5.73836999412944e-17,3.44208778890841e-16,NA,"15630",NA
"9172",82.7487285662372,1.86380525506168,0.222753243256713,8.36712959960691,5.90387522006376e-17,3.53992322999592e-16,"MYOM2","9172","myomesin 2"
"4905",77.7355220079741,2.05081062057116,0.245448433841593,8.35536242164294,6.52321217019637e-17,3.90968283710265e-16,"NSF","4905","N-ethylmaleimide sensitive factor, vesicle fusing ATPase"
"13",9128.439421961,0.389908792022773,0.0467163395511338,8.34630443586006,7.04321148754155e-17,4.21962808550355e-16,"AADAC","13","arylacetamide deacetylase"
"19394",37.763050005029,3.53880768311662,0.424213409651259,8.34204577838744,7.30161747427831e-17,4.37266307744469e-16,NA,"19394",NA
"10869",952.077213849832,0.565549972229813,0.0678127881944777,8.33987198119467,7.43710054713427e-17,4.4519897588816e-16,"USP19","10869","ubiquitin specific peptidase 19"
"9497",504.837262490317,0.77713004624742,0.0932039036797008,8.33795598216638,7.55856986307822e-17,4.52286653033077e-16,"SLC4A7","9497","solute carrier family 4 member 7"
"6394",2167.18931212612,-0.423424751602208,0.0507978451784059,-8.33548647811945,7.71801972693408e-17,4.61640319543647e-16,NA,"6394",NA
"1985",727.88039665662,-0.620150712392366,0.0744209758468452,-8.33300968356833,7.88127129847809e-17,4.71213697350791e-16,NA,"1985",NA
"9419",130.192873236647,-1.42211425041631,0.170736070044278,-8.32931348394927,8.13124923585436e-17,4.85962494882488e-16,"CRIPT","9419","CXXC repeat containing interactor of PDZ3 domain"
"8942",4699.08501396401,0.350525833219724,0.0421078246203357,8.32448212132146,8.46982122094283e-17,5.05991994950367e-16,"KYNU","8942","kynureninase"
"356",135.022822382968,-1.32780910729845,0.159627893961241,-8.31815213712492,8.93452841558709e-17,5.33537600441339e-16,"FASLG","356","Fas ligand"
"17113",73.1794028312979,2.16248038000539,0.260077882900449,8.31474155314137,9.19524338348926e-17,5.4888415142108e-16,NA,"17113",NA
"17359",1765.31237145799,0.469385098677013,0.0564610632010316,8.31343003594799,9.29748445195183e-17,5.54762452845612e-16,NA,"17359",NA
"10739",55.6714717701501,2.35171731537328,0.282900928569723,8.31286531035081,9.34185290415748e-17,5.5718424970244e-16,"RFPL2","10739","ret finger protein like 2"
"9051",330.517515145,0.904377678460075,0.108823023459918,8.31053622391933,9.5270576406864e-17,5.68000709985583e-16,"PSTPIP1","9051","proline-serine-threonine phosphatase interacting protein 1"
"4090",216.029382519661,1.05458314300298,0.126964311586703,8.30613839293581,9.88669172986253e-17,5.892036502819e-16,"SMAD5","4090","SMAD family member 5"
"10757",644.153096756891,-0.700137745308029,0.0843495546566793,-8.30043203141664,1.03733471725961e-16,6.17956308123368e-16,NA,"10757",NA
"11274",1782.95478081611,-0.49227633832831,0.059318450443809,-8.29887386884173,1.05102881265212e-16,6.25861116802702e-16,"USP18","11274","ubiquitin specific peptidase 18"
"7406",193.380689453805,-1.13191308771513,0.1364399542318,-8.29605297134664,1.07627558000629e-16,6.40636086354309e-16,NA,"7406",NA
