"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"11584",4331.58598921615,-1.28570159441468,0.0461355798461976,-27.8678971566159,6.53815283248975e-171,7.83408914188894e-169,NA,"11584",NA
"6701",689.791384929011,2.83420145486982,0.101922368702903,27.8074527793926,3.52495005097487e-170,4.18957369768287e-168,"SPRR2B","6701","small proline rich protein 2B"
"4384",1268.17937848349,-1.8911024176115,0.0682347232550524,-27.7146638456026,4.64845066232191e-169,5.48070926890402e-167,"MRX20","4384","mental retardation, X-linked 20"
"5464",852.701537725169,2.13206737939772,0.0770835743691426,27.659166000626,2.165199004881e-168,2.53259547094731e-166,"PPA1","5464","inorganic pyrophosphatase 1"
"5490",1048.67798618006,2.27794331497045,0.0824087394895217,27.6420113823011,3.48151090058305e-168,4.04019745297582e-166,NA,"5490",NA
"16968",570.336073336896,2.83088461025262,0.10292788446336,27.5035732543435,1.59110643198169e-166,1.83200989019892e-164,NA,"16968",NA
"11327",1719.55770882045,-1.57938242129601,0.0575011783232795,-27.4669575015752,4.35860484875999e-166,4.97962157062207e-164,NA,"11327",NA
"8090",1340.69055489962,-1.74229970819447,0.0634971545468501,-27.4390202305671,9.39453901878344e-166,1.065051661991e-163,NA,"8090",NA
"8427",563.648360733133,3.41302170307903,0.124605048110961,27.3907177503734,3.53780645398201e-165,3.98016729151044e-163,"ZNF282","8427","zinc finger protein 282"
"12547",563.923688119321,-2.79230082382021,0.102045843626786,-27.3631999558211,7.52223196996867e-165,8.39868596768169e-163,NA,"12547",NA
"5173",1168.42585268541,-2.03750868096321,0.0744625124096974,-27.362878514664,7.58877530151234e-165,8.4092759694503e-163,"PDYN","5173","prodynorphin"
"15059",502.683929770066,-3.32923741741875,0.121688979500919,-27.3585778356668,8.53774309058915e-165,9.39024310963454e-163,NA,"15059",NA
"16918",2690.47150334747,-1.50606742291765,0.0550770508525876,-27.3447361397146,1.24733546092812e-164,1.36172074245619e-162,NA,"16918",NA
"9095",954.690284174,2.03263249197315,0.0744909387905079,27.2869764427262,6.05493783097395e-164,6.56159365830104e-162,"TBX19","9095","T-box transcription factor 19"
"12861",2369.28278181903,5.09735332203113,0.186814833117042,27.2855920323927,6.28835886268572e-164,6.76480532250089e-162,NA,"12861",NA
"14600",1190.06353560081,2.13136943569511,0.0788327305720975,27.0366054838838,5.48949071174472e-161,5.86261696447056e-159,NA,"14600",NA
"16684",509.548185635596,-3.097661031905,0.114589407045888,-27.0326997212275,6.10171879426197e-161,6.46957781221819e-159,NA,"16684",NA
"12193",489.63700653501,-3.02314009593891,0.1119288253649,-27.0094864846758,1.1434947866027e-160,1.20377329749647e-158,NA,"12193",NA
"530",1409.88985133804,-1.74444146026819,0.0649482701026632,-26.8589364660639,6.63278235149347e-159,6.93290399264616e-157,NA,"530",NA
"12529",3002.80270522025,-1.43654751216175,0.053510582812744,-26.8460449625233,9.38086634494079e-159,9.73628226702376e-157,NA,"12529",NA
"2200",1241.54577193998,-2.02417343922894,0.0754066735931277,-26.8434256913491,1.00651912785973e-158,1.0373481752725e-156,"FBN1","2200","fibrillin 1"
"5387",1375.65463563177,1.72034861201094,0.0641522047598338,26.8166716709332,2.06535898801271e-158,2.11383755314801e-156,"PMS2P3","5387","PMS1 homolog 2, mismatch repair system component pseudogene 3"
"7953",10772.7240037773,-1.36860141667853,0.0510598841190637,-26.8038488588647,2.91410850451588e-158,2.96194007859e-156,NA,"7953",NA
"9481",1092.60954361111,2.17982979420979,0.0813913269093608,26.7820894066182,5.22457868933265e-158,5.2739616933825e-156,"SLC25A27","9481","solute carrier family 25 member 27"
"9807",1060.1999959954,-2.06902763036398,0.0775868059517076,-26.667261333735,1.12888645630613e-156,1.13180466619318e-154,"IP6K1","9807","inositol hexakisphosphate kinase 1"
"19356",1548.43376339178,-1.54579702553892,0.0580504853328676,-26.6284944333395,3.17636687927762e-156,3.16306047748605e-154,NA,"19356",NA
"13772",562.779146692896,-2.72049307005402,0.102236932877154,-26.6096898008757,5.24358146562862e-156,5.18657071412313e-154,NA,"13772",NA
"17147",1172.2386809597,5.52533661138904,0.207771211150542,26.5933696049239,8.09914671382401e-156,7.95768161788922e-154,NA,"17147",NA
"10444",9887.50008844397,-1.01647209043677,0.0383140635560749,-26.529999590075,4.37001752702439e-155,4.2652528684295e-153,"ZER1","10444","zyg-11 related cell cycle regulator"
"13599",22662.7967620428,1.09975936182814,0.0415181804493303,26.4886213684221,1.31081166240575e-154,1.27096988687736e-152,NA,"13599",NA
"16682",535.537322697115,-2.99316984531097,0.113333402870152,-26.4103059601969,1.04332687756409e-153,1.00500336742089e-151,NA,"16682",NA
"2865",2615.20252718009,-1.34488157112989,0.0509516581236695,-26.395246409167,1.55363482857473e-153,1.48684870802171e-151,"FFAR3","2865","free fatty acid receptor 3"
"6933",494.500786591075,2.80821461979186,0.106412973431436,26.3897768217261,1.79527827121105e-153,1.70702007491022e-151,NA,"6933",NA
"9159",2385.18491369971,1.32446365486611,0.0502228270275091,26.3717463403773,2.89070201966058e-153,2.73097220293318e-151,"PCSK7","9159","proprotein convertase subtilisin/kexin type 7"
"13886",1393.45153066727,1.71995059227826,0.065235370480971,26.3653073416662,3.42646730954806e-153,3.2165143444662e-151,NA,"13886",NA
"12873",1424.14713666972,1.67884326172024,0.0638947453537294,26.2751381576991,3.69002687399448e-152,3.44200101702093e-150,NA,"12873",NA
"4471",10996.1867655617,-1.00330193008526,0.0382024978411073,-26.2627311506755,5.11421309955883e-152,4.74045740008164e-150,NA,"4471",NA
"17466",529.580434708431,3.50771136339453,0.134086229283586,26.1601163828382,7.56113412244507e-151,6.96474966853721e-149,NA,"17466",NA
"10537",3114.20548141785,1.42947650463429,0.054774623804733,26.0974225898885,3.8998582469848e-150,3.5699447729231e-148,"UBD","10537","ubiquitin like modifier D"
"17137",1758.73428502496,1.54280726947101,0.0591378479276344,26.0883228513642,4.946727524854e-150,4.50030063341347e-148,NA,"17137",NA
"4590",2091.9060865614,1.46011820343235,0.0559766931398583,26.0843955141157,5.48121227235885e-150,4.95595745214876e-148,NA,"4590",NA
"1491",1623.79807423536,-1.69881909645385,0.0653660673344004,-25.9893116678262,6.54084648582343e-149,5.87798753097961e-147,"CTH","1491","cystathionine gamma-lyase"
"4694",3907.19054249844,7.47916568575078,0.288067503948618,25.9632398074474,1.28882642605824e-148,1.15119538589372e-146,"NDUFA1","4694","NADH:ubiquinone oxidoreductase subunit A1"
"4162",918.429735878976,-1.98566035842832,0.0766078877398354,-25.9197899460658,3.98507948395505e-148,3.53807839967045e-146,"MCAM","4162","melanoma cell adhesion molecule"
